MMYY,Region A (VV dB),Region B (VV dB)
04-2024,23.745292157245732,22.692400659060475
05-2024,23.27964882446369,22.943526078150164
06-2024,22.659701949822015,22.592335506721632
07-2024,23.4280962046751,22.841406318174286
08-2024,22.818881820593603,22.598629679025592
09-2024,22.21961326858013,22.564082452690467
10-2024,23.10519341178617,23.153493776663073
11-2024,23.193583304335025,22.839379170997145
12-2024,23.01521594801763,22.705006354831518
01-2025,23.764851700749066,22.9067239328163
02-2025,23.968477869111748,23.23361921793223
03-2025,24.355686198716377,23.25970614876241
04-2025,23.15067853095912,22.871941300879698
05-2025,22.32028739067368,22.386673070658972
06-2025,22.443242630790007,22.36522592982764
07-2025,22.99967311901074,22.47880088586293
08-2025,22.680271602482556,22.543396295607025
09-2025,22.360521332257942,22.736468962634365
10-2025,22.853394124569235,22.769893855995186
11-2025,23.111028676168637,22.887886141193455
12-2025,23.629923179409417,23.243030799483442
